µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,2.0,37,55.0,44.0,9.0
BULEVARD SUD,1.0,21,40.0,,
MOLÍ DEL SOL,78.0,11,52.0,28.0,12.0
PISTA DE SILLA,1.0,19,32.0,32.0,12.0
POLITÈCNIC,3.0,24,36.0,20.0,11.0
VIVERS,1.0,18,46.0,,
VALÈNCIA CENTRE,,15,,39.0,13.0
DR.LLUCH,,50,,39.0,14.0
CABANYAL,,45,,38.0,15.0
OLIVERETA,,64,,45.0,18.0
PATRAIX,,62,,39.0,15.0
