µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,8.0,45,55.0,45.0,9.0
BULEVARD SUD,1.0,47,26.0,,
MOLÍ DEL SOL,70.0,25,38.0,30.0,12.0
PISTA DE SILLA,1.0,49,23.0,33.0,12.0
POLITÈCNIC,2.0,38,23.0,19.0,11.0
VIVERS,1.0,37,36.0,,
VALÈNCIA CENTRE,,52,,40.0,13.0
DR.LLUCH,,86,,36.0,13.0
CABANYAL,,62,,36.0,14.0
OLIVERETA,,128,,46.0,18.0
PATRAIX,,62,,39.0,15.0
