µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,1.0,13,55.0,44.0,9.0
BULEVARD SUD,0.0,22,74.0,,
MOLÍ DEL SOL,88.0,15,86.0,27.0,11.0
PISTA DE SILLA,1.0,16,47.0,30.0,12.0
POLITÈCNIC,2.0,10,112.0,19.0,11.0
VIVERS,0.0,12,96.0,,
VALÈNCIA CENTRE,,15,,38.0,13.0
DR.LLUCH,,28,,44.0,17.0
CABANYAL,,16,,38.0,15.0
OLIVERETA,,53,,44.0,18.0
PATRAIX,,62,,38.0,15.0
