µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,2.0,13,86.0,26.0,8.0
BULEVARD SUD,1.0,14,74.0,,
MOLÍ DEL SOL,97.0,13,80.0,21.0,10.0
PISTA DE SILLA,1.0,14,61.0,23.0,11.0
POLITÈCNIC,2.0,14,69.0,15.0,11.0
VIVERS,0.0,11,79.0,,
VALÈNCIA CENTRE,,18,,28.0,11.0
DR.LLUCH,,18,,33.0,15.0
CABANYAL,,25,,32.0,14.0
OLIVERETA,,27,,32.0,15.0
PATRAIX,,58,,28.0,13.0
