µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,5.8,27,34.1,33.6,6.9
BULEVARD SUD,0.0,58,24.2,,
MOLÍ DEL SOL,44.5,41,36.0,26.9,10.4
PISTA DE SILLA,0.2,43,22.0,29.3,10.8
POLITÈCNIC,1.6,32,41.5,18.6,10.4
VIVERS,0.0,23,42.8,,
VALÈNCIA CENTRE,,30,,35.5,11.7
DR.LLUCH,,33,,29.0,11.7
CABANYAL,,37,,32.6,12.5
OLIVERETA,,79,,37.6,15.9
PATRAIX,,70,,33.8,14.8
