µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,5.8,33,34.1,35.7,7.6
BULEVARD SUD,0.1,73,24.2,,
MOLÍ DEL SOL,62.5,52,36.0,27.2,12.2
PISTA DE SILLA,0.9,56,22.0,31.4,11.8
POLITÈCNIC,1.2,43,41.5,18.9,10.5
VIVERS,0.0,30,42.8,,
VALÈNCIA CENTRE,,37,,37.6,12.9
DR.LLUCH,,42,,29.3,10.8
CABANYAL,,44,,33.9,13.8
OLIVERETA,,99,,39.1,17.4
PATRAIX,,86,,35.0,15.0
