µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,6.7,20,53.9,34.1,7.6
BULEVARD SUD,0.0,46,37.7,,
MOLÍ DEL SOL,41.0,33,58.8,26.0,11.5
PISTA DE SILLA,0.5,33,30.9,30.3,11.3
POLITÈCNIC,1.7,29,66.1,16.1,10.6
VIVERS,0.9,17,68.6,,
VALÈNCIA CENTRE,,24,,35.8,12.0
DR.LLUCH,,26,,28.0,11.3
CABANYAL,,27,,31.7,13.8
OLIVERETA,,61,,37.7,15.5
PATRAIX,,49,,33.3,13.3
