µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,2.0,8,55.0,43.0,9.0
BULEVARD SUD,0.0,21,57.0,,
MOLÍ DEL SOL,84.0,19,67.0,28.0,12.0
PISTA DE SILLA,1.0,24,38.0,32.0,12.0
POLITÈCNIC,4.0,12,57.0,20.0,11.0
VIVERS,0.0,13,57.0,,
VALÈNCIA CENTRE,,20,,38.0,13.0
DR.LLUCH,,18,,40.0,15.0
CABANYAL,,19,,39.0,15.0
OLIVERETA,,59,,45.0,18.0
PATRAIX,,62,,39.0,15.0
