µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,1.0,10,55.0,44.0,9.0
BULEVARD SUD,1.0,30,76.0,,
MOLÍ DEL SOL,85.0,15,88.0,27.0,11.0
PISTA DE SILLA,1.0,23,47.0,31.0,12.0
POLITÈCNIC,2.0,10,112.0,19.0,11.0
VIVERS,0.0,12,94.0,,
VALÈNCIA CENTRE,,16,,38.0,13.0
DR.LLUCH,,21,,44.0,16.0
CABANYAL,,13,,39.0,15.0
OLIVERETA,,49,,44.0,18.0
PATRAIX,,62,,38.0,15.0
