µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,2.0,10,55.0,43.0,9.0
BULEVARD SUD,1.0,20,65.0,,
MOLÍ DEL SOL,83.0,16,74.0,28.0,11.0
PISTA DE SILLA,1.0,29,42.0,32.0,12.0
POLITÈCNIC,3.0,11,67.0,20.0,11.0
VIVERS,0.0,13,65.0,,
VALÈNCIA CENTRE,,13,,38.0,13.0
DR.LLUCH,,18,,40.0,15.0
CABANYAL,,16,,39.0,15.0
OLIVERETA,,63,,45.0,18.0
PATRAIX,,62,,39.0,15.0
