trained_at_utc,station,pollutant,horizon_hours,mae,rmse,r2,baseline_mae,baseline_rmse,baseline_r2,beats_baseline_mae,train_rows,test_rows,model_path
2026-06-23T02:31:40+00:00,València - Av. França,SO2,8,0.2309692106664274,0.3983313542780039,-0.1409455030863093,0.1736011477761836,0.5067691003705607,-0.846699230313795,False,21421,697,models/builded/model__valencia_av_franca__so2__h08.json
2026-06-23T02:31:40+00:00,València - Av. França,SO2,24,0.2399736651840185,0.4015968635496743,-0.1540005709792309,0.1674008810572687,0.5025631804729702,-0.8072021476841422,False,21386,681,models/builded/model__valencia_av_franca__so2__h24.json
2026-06-23T02:31:40+00:00,València - Av. França,NO2,8,11.09878938269542,14.532616206028589,0.357740036006709,15.437037037037037,21.136382535019248,-0.3585779532690292,True,21453,675,models/builded/model__valencia_av_franca__no2__h08.json
2026-06-23T02:31:40+00:00,València - Av. França,NO2,24,11.103587591780553,14.665066003349349,0.3703784697380606,11.342424242424242,16.62145382548492,0.1911843581876259,True,21363,660,models/builded/model__valencia_av_franca__no2__h24.json
2026-06-23T02:31:40+00:00,València - Av. França,O3,8,10.32701890378674,13.359551644208093,0.3814824017521501,11.707550578034684,14.821375166479806,0.2387184659363179,True,21894,692,models/builded/model__valencia_av_franca__o3__h08.json
2026-06-23T02:31:40+00:00,València - Av. França,O3,24,12.402273665157097,15.179910922151011,0.2200399776555899,13.582303113553111,16.784274309611956,0.046459740173688,True,21796,676,models/builded/model__valencia_av_franca__o3__h24.json
2026-06-23T02:31:40+00:00,València - Av. França,PM10,8,2.6324281551183653,3.72140861288139,0.9291460342042372,3.465811202126389,5.137875103007851,0.8649431761960864,True,21000,722,models/builded/model__valencia_av_franca__pm10__h08.json
2026-06-23T02:31:40+00:00,València - Av. França,PM10,24,7.933838746579642,10.681893745087237,0.4198839123833854,8.488805419546583,12.48472532821826,0.2075417589100894,True,20833,706,models/builded/model__valencia_av_franca__pm10__h24.json
2026-06-23T02:31:40+00:00,València - Av. França,PM2.5,8,1.479993358471274,2.095254402384649,0.9336214519673716,2.014829726959379,2.982245183501578,0.8655251970956334,True,20991,722,models/builded/model__valencia_av_franca__pm2_5__h08.json
2026-06-23T02:31:40+00:00,València - Av. França,PM2.5,24,4.226240801746495,6.044037806402704,0.4503958871841,4.923581629910919,7.242237269012388,0.21088349429532,True,20808,706,models/builded/model__valencia_av_franca__pm2_5__h24.json
2026-06-23T02:31:40+00:00,València - Bulevard Sud,SO2,8,0.5038163203279488,0.7142537564237017,0.2452177450686125,0.5319148936170213,0.986227345443076,-0.4390328081164292,True,21072,658,models/builded/model__valencia_bulevard_sud__so2__h08.json
2026-06-23T02:31:40+00:00,València - Bulevard Sud,SO2,24,0.4830611586347451,0.6877141191470783,0.1768473170722291,0.3831775700934579,0.8126722199458101,-0.1494639230109833,False,20970,642,models/builded/model__valencia_bulevard_sud__so2__h24.json
2026-06-23T02:31:40+00:00,València - Bulevard Sud,NO2,8,8.065830725759296,9.747709271027478,0.1416290540908631,9.658407079646018,14.279324740485729,-0.8419812906573505,True,21067,565,models/builded/model__valencia_bulevard_sud__no2__h08.json
2026-06-23T02:31:40+00:00,València - Bulevard Sud,NO2,24,8.090572029260285,10.268101368576676,0.2935476674824167,7.009208103130755,11.220869795550271,0.1563630083286937,False,20965,543,models/builded/model__valencia_bulevard_sud__no2__h24.json
2026-06-23T02:31:40+00:00,València - Bulevard Sud,O3,8,12.082228322536778,15.087142608201402,0.3753649747192145,13.367521610555048,17.472362879607704,0.1622477098379706,True,21603,628,models/builded/model__valencia_bulevard_sud__o3__h08.json
2026-06-23T02:31:40+00:00,València - Bulevard Sud,O3,24,12.78479897285661,15.800352741282516,0.2399476856023783,14.203839869281046,18.34723512164948,-0.0248284507458844,True,21452,612,models/builded/model__valencia_bulevard_sud__o3__h24.json
2026-06-23T02:31:40+00:00,València - Centre,NO2,8,10.852006334437922,13.386986001053735,0.2664072213465586,15.534985422740524,20.157651246861263,-0.6632950048036679,True,23200,686,models/builded/model__valencia_centre__no2__h08.json
2026-06-23T02:31:40+00:00,València - Centre,NO2,24,10.41798973580217,13.15985944585094,0.3091175045769981,10.939078751857355,15.309777974695535,0.064940013821683,True,23156,673,models/builded/model__valencia_centre__no2__h24.json
2026-06-23T02:31:40+00:00,València - Centre,PM10,8,3.5311102261447904,4.587955926338821,0.8659880701571336,4.191508220040829,5.788519209554764,0.7866758889568551,True,21683,728,models/builded/model__valencia_centre__pm10__h08.json
2026-06-23T02:31:40+00:00,València - Centre,PM10,24,7.95344987789067,10.441575881964948,0.3179547453375994,9.70076843192582,12.934732723768493,-0.0466368274555415,True,21429,713,models/builded/model__valencia_centre__pm10__h24.json
2026-06-23T02:31:40+00:00,València - Centre,PM2.5,8,1.2571055003120344,1.7546263166258378,0.9146521735306042,1.591212003576134,2.2975512863515304,0.8536631787291006,True,21683,728,models/builded/model__valencia_centre__pm2_5__h08.json
2026-06-23T02:31:40+00:00,València - Centre,PM2.5,24,3.386162650035988,4.350891757444214,0.4608350727225836,3.852921094597416,5.357608083339365,0.1824638640627375,True,21429,713,models/builded/model__valencia_centre__pm2_5__h24.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,SO2,8,0.3820953082698985,0.5009708485608433,0.6316086716730749,0.1894150417827298,0.4478360225172455,0.7056103505614907,False,18398,359,models/builded/model__valencia_moli_del_sol__so2__h08.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,SO2,24,0.5094672910103021,0.6293216637509127,0.3984259039893895,0.3246376811594202,0.5848324422492706,0.4804747320061256,False,18208,345,models/builded/model__valencia_moli_del_sol__so2__h24.json
