µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,6.4,28,34.1,33.6,7.5
BULEVARD SUD,0.9,57,24.2,,
MOLÍ DEL SOL,54.6,41,36.0,27.7,10.4
PISTA DE SILLA,1.2,49,22.0,31.4,12.0
POLITÈCNIC,2.3,36,41.5,16.6,10.8
VIVERS,0.0,25,42.8,,
VALÈNCIA CENTRE,,31,,34.7,12.0
DR.LLUCH,,36,,30.6,11.6
CABANYAL,,38,,32.7,13.2
OLIVERETA,,83,,38.2,16.6
PATRAIX,,69,,34.6,14.7
