µg/m3,SO2,NO2,O3,PM-10,PM-2.5
AVDA.FRANCIA,6.3,17,70.5,32.8,7.1
BULEVARD SUD,0.0,36,49.4,,
MOLÍ DEL SOL,19.1,26,76.3,26.1,10.1
PISTA DE SILLA,1.3,30,41.8,29.0,10.3
POLITÈCNIC,1.2,20,85.3,17.6,9.3
VIVERS,0.0,14,90.1,,
VALÈNCIA CENTRE,,19,,33.1,11.5
DR.LLUCH,,20,,29.2,10.2
CABANYAL,,21,,30.3,13.1
OLIVERETA,,49,,37.5,16.2
PATRAIX,,45,,32.5,12.9
